metric,value
version,2026.08.26-public-v1
python,"3.11.16 (main, Aug 13 2026, 02:46:14) [GCC 13.3.0]"
evidence_class,public_dataset_deterministic_retrieval
locomo.turn_retrieval.word_all.category_1.complete_at_5,0.060498220640569395
locomo.turn_retrieval.word_all.category_1.ndcg_at_5,0.17535813805949615
locomo.turn_retrieval.word_all.category_1.hit_at_10,0.5088967971530249
locomo.turn_retrieval.word_all.category_1.recall_at_10,0.28577243551021414
locomo.turn_retrieval.word_all.category_1.complete_at_10,0.11743772241992882
locomo.turn_retrieval.word_all.category_1.ndcg_at_10,0.21282985822827186
locomo.turn_retrieval.word_all.category_1.hit_at_20,0.6227758007117438
locomo.turn_retrieval.word_all.category_1.recall_at_20,0.3622571607493878
locomo.turn_retrieval.word_all.category_1.complete_at_20,0.15658362989323843
locomo.turn_retrieval.word_all.category_1.ndcg_at_20,0.24040925045880987
locomo.turn_retrieval.word_all.category_4.n,841
locomo.turn_retrieval.word_all.category_4.mrr,0.5140072764793024
locomo.turn_retrieval.word_all.category_4.hit_at_1,0.4102259215219976
locomo.turn_retrieval.word_all.category_4.recall_at_1,0.39932619896948074
locomo.turn_retrieval.word_all.category_4.complete_at_1,0.39001189060642094
locomo.turn_retrieval.word_all.category_4.ndcg_at_1,0.4102259215219976
locomo.turn_retrieval.word_all.category_4.hit_at_5,0.638525564803805
locomo.turn_retrieval.word_all.category_4.recall_at_5,0.6262386048355132
locomo.turn_retrieval.word_all.category_4.complete_at_5,0.6135552913198573
locomo.turn_retrieval.word_all.category_4.ndcg_at_5,0.525438778926962
locomo.turn_retrieval.word_all.category_4.hit_at_10,0.7015457788347206
locomo.turn_retrieval.word_all.category_4.recall_at_10,0.6902497027348394
locomo.turn_retrieval.word_all.category_4.complete_at_10,0.6777645659928656
locomo.turn_retrieval.word_all.category_4.ndcg_at_10,0.5465359910599695
locomo.turn_retrieval.word_all.category_4.hit_at_20,0.760998810939358
locomo.turn_retrieval.word_all.category_4.recall_at_20,0.7495045580657947
locomo.turn_retrieval.word_all.category_4.complete_at_20,0.737217598097503
locomo.turn_retrieval.word_all.category_4.ndcg_at_20,0.5621122153069174
locomo.turn_retrieval.word_all.category_5.n,446
locomo.turn_retrieval.word_all.category_5.mrr,0.4904377657906616
locomo.turn_retrieval.word_all.category_5.hit_at_1,0.3811659192825112
locomo.turn_retrieval.word_all.category_5.recall_at_1,0.3755605381165919
locomo.turn_retrieval.word_all.category_5.complete_at_1,0.36995515695067266
locomo.turn_retrieval.word_all.category_5.ndcg_at_1,0.3811659192825112
locomo.turn_retrieval.word_all.category_5.hit_at_5,0.6210762331838565
locomo.turn_retrieval.word_all.category_5.recall_at_5,0.6154708520179372
locomo.turn_retrieval.word_all.category_5.complete_at_5,0.6098654708520179
locomo.turn_retrieval.word_all.category_5.ndcg_at_5,0.5075549094286165
locomo.turn_retrieval.word_all.category_5.hit_at_10,0.6860986547085202
locomo.turn_retrieval.word_all.category_5.recall_at_10,0.6804932735426009
locomo.turn_retrieval.word_all.category_5.complete_at_10,0.6748878923766816
locomo.turn_retrieval.word_all.category_5.ndcg_at_10,0.528774427116671
locomo.turn_retrieval.word_all.category_5.hit_at_20,0.7511210762331838
locomo.turn_retrieval.word_all.category_5.recall_at_20,0.7477578475336323
locomo.turn_retrieval.word_all.category_5.complete_at_20,0.7443946188340808
locomo.turn_retrieval.word_all.category_5.ndcg_at_20,0.5465023480305086
locomo.turn_retrieval.bigram_all.all_answerable.n,1977
locomo.turn_retrieval.bigram_all.all_answerable.mrr,0.4594735509916991
locomo.turn_retrieval.bigram_all.all_answerable.hit_at_1,0.3520485584218513
locomo.turn_retrieval.bigram_all.all_answerable.recall_at_1,0.32696447457448974
locomo.turn_retrieval.bigram_all.all_answerable.complete_at_1,0.3090541224076884
locomo.turn_retrieval.bigram_all.all_answerable.ndcg_at_1,0.3520485584218513
locomo.turn_retrieval.bigram_all.all_answerable.hit_at_5,0.5806777946383409
locomo.turn_retrieval.bigram_all.all_answerable.recall_at_5,0.5383299561814949
locomo.turn_retrieval.bigram_all.all_answerable.complete_at_5,0.5058168942842691
locomo.turn_retrieval.bigram_all.all_answerable.ndcg_at_5,0.45230358386450353
locomo.turn_retrieval.bigram_all.all_answerable.hit_at_10,0.6565503287809813
