metric,value
version,2026.08.26-public-v1
python,"3.11.16 (main, Aug 13 2026, 02:46:14) [GCC 13.3.0]"
evidence_class,public_dataset_deterministic_retrieval
longmemeval.session_retrieval.word_all.temporal-reasoning.recall_at_1,0.43937007874015743
longmemeval.session_retrieval.word_all.temporal-reasoning.complete_at_1,0.11023622047244094
longmemeval.session_retrieval.word_all.temporal-reasoning.ndcg_at_1,0.84251968503937
longmemeval.session_retrieval.word_all.temporal-reasoning.hit_at_3,0.937007874015748
longmemeval.session_retrieval.word_all.temporal-reasoning.recall_at_3,0.8227034120734908
longmemeval.session_retrieval.word_all.temporal-reasoning.complete_at_3,0.7007874015748031
longmemeval.session_retrieval.word_all.temporal-reasoning.ndcg_at_3,0.8359121163757679
longmemeval.session_retrieval.word_all.temporal-reasoning.hit_at_5,0.952755905511811
longmemeval.session_retrieval.word_all.temporal-reasoning.recall_at_5,0.8755905511811024
longmemeval.session_retrieval.word_all.temporal-reasoning.complete_at_5,0.7559055118110236
longmemeval.session_retrieval.word_all.temporal-reasoning.ndcg_at_5,0.8490725888833509
longmemeval.session_retrieval.word_all.temporal-reasoning.hit_at_10,0.984251968503937
longmemeval.session_retrieval.word_all.temporal-reasoning.recall_at_10,0.9318897637795275
longmemeval.session_retrieval.word_all.temporal-reasoning.complete_at_10,0.8582677165354331
longmemeval.session_retrieval.word_all.temporal-reasoning.ndcg_at_10,0.8731358992062576
longmemeval.session_retrieval.word_all.knowledge-update.n,72
longmemeval.session_retrieval.word_all.knowledge-update.mrr,0.9826388888888888
longmemeval.session_retrieval.word_all.knowledge-update.hit_at_1,0.9722222222222222
longmemeval.session_retrieval.word_all.knowledge-update.recall_at_1,0.4861111111111111
longmemeval.session_retrieval.word_all.knowledge-update.complete_at_1,0.0
longmemeval.session_retrieval.word_all.knowledge-update.ndcg_at_1,0.9722222222222222
longmemeval.session_retrieval.word_all.knowledge-update.hit_at_3,0.9861111111111112
longmemeval.session_retrieval.word_all.knowledge-update.recall_at_3,0.9583333333333334
longmemeval.session_retrieval.word_all.knowledge-update.complete_at_3,0.9305555555555556
longmemeval.session_retrieval.word_all.knowledge-update.ndcg_at_3,0.9581313437913261
longmemeval.session_retrieval.word_all.knowledge-update.hit_at_5,1.0
longmemeval.session_retrieval.word_all.knowledge-update.recall_at_5,0.9861111111111112
longmemeval.session_retrieval.word_all.knowledge-update.complete_at_5,0.9722222222222222
longmemeval.session_retrieval.word_all.knowledge-update.ndcg_at_5,0.9724285949092022
longmemeval.session_retrieval.word_all.knowledge-update.hit_at_10,1.0
longmemeval.session_retrieval.word_all.knowledge-update.recall_at_10,0.9930555555555556
longmemeval.session_retrieval.word_all.knowledge-update.complete_at_10,0.9861111111111112
longmemeval.session_retrieval.word_all.knowledge-update.ndcg_at_10,0.9751150727372198
longmemeval.session_retrieval.word_all.single-session-assistant.n,56
longmemeval.session_retrieval.word_all.single-session-assistant.mrr,1.0
longmemeval.session_retrieval.word_all.single-session-assistant.hit_at_1,1.0
longmemeval.session_retrieval.word_all.single-session-assistant.recall_at_1,1.0
longmemeval.session_retrieval.word_all.single-session-assistant.complete_at_1,1.0
longmemeval.session_retrieval.word_all.single-session-assistant.ndcg_at_1,1.0
longmemeval.session_retrieval.word_all.single-session-assistant.hit_at_3,1.0
longmemeval.session_retrieval.word_all.single-session-assistant.recall_at_3,1.0
longmemeval.session_retrieval.word_all.single-session-assistant.complete_at_3,1.0
longmemeval.session_retrieval.word_all.single-session-assistant.ndcg_at_3,1.0
longmemeval.session_retrieval.word_all.single-session-assistant.hit_at_5,1.0
longmemeval.session_retrieval.word_all.single-session-assistant.recall_at_5,1.0
