FM-M03-before-unknown-external-effect-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M03-after-no-output-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M03-after-single-output-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M03-after-multiple-output-pages-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M03-after-processor-loop-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M03-after-process-descendant-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M03-after-active-capability-handler-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M03-after-unknown-external-effect-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M04-before-no-output-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M04-before-single-output-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M04-before-multiple-output-pages-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M04-before-processor-loop-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M04-before-process-descendant-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M04-before-active-capability-handler-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M04-before-unknown-external-effect-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M04-after-no-output-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M04-after-single-output-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M04-after-multiple-output-pages-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M04-after-processor-loop-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M04-after-process-descendant-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M04-after-active-capability-handler-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M04-after-unknown-external-effect-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M05-before-no-output-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M05-before-single-output-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M05-before-multiple-output-pages-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M05-before-processor-loop-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M05-before-process-descendant-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M05-before-active-capability-handler-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M05-before-unknown-external-effect-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M05-after-no-output-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M05-after-single-output-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M05-after-multiple-output-pages-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M05-after-processor-loop-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M05-after-process-descendant-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M05-after-active-capability-handler-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M05-after-unknown-external-effect-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M06-before-no-output-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M06-before-single-output-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M06-before-multiple-output-pages-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M06-before-processor-loop-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M06-before-process-descendant-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M06-before-active-capability-handler-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M06-before-unknown-external-effect-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M06-after-no-output-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M06-after-single-output-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M06-after-multiple-output-pages-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M06-after-processor-loop-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M06-after-process-descendant-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M06-after-active-capability-handler-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M06-after-unknown-external-effect-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M07-before-no-output-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M07-before-single-output-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M07-before-multiple-output-pages-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M07-before-processor-loop-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M07-before-process-descendant-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M07-before-active-capability-handler-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M07-before-unknown-external-effect-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M07-after-no-output-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M07-after-single-output-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M07-after-multiple-output-pages-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
FM-M07-after-processor-loop-proposed	fixed-interruption-matrix	fixed-interruption	proposed	180	non-disruptive	events,barrier-snapshots,process-and-cgroup-observations,case-outcome
